time,generation
2018/1/1 00:00,0.73
2018/1/1 01:00,0
2018/1/1 02:00,0
2018/1/1 03:00,0.73
2018/1/1 04:00,0.73
2018/1/1 05:00,0
2018/1/1 06:00,0
2018/1/1 07:00,0.73
2018/1/1 08:00,0.28
2018/1/1 09:00,0.73
2018/1/1 10:00,0.73
2018/1/1 11:00,1.56
2018/1/1 12:00,0.73
2018/1/1 13:00,0.73
2018/1/1 14:00,0.73
2018/1/1 15:00,0.73
2018/1/1 16:00,0.73
2018/1/1 17:00,0.73
2018/1/1 18:00,0.01
2018/1/1 19:00,0
2018/1/1 20:00,0
2018/1/1 21:00,0
2018/1/1 22:00,0
2018/1/1 23:00,0
2018/1/2 00:00,0
2018/1/2 01:00,0
2018/1/2 02:00,0
2018/1/2 03:00,0
2018/1/2 04:00,0
2018/1/2 05:00,0
2018/1/2 06:00,0
2018/1/2 07:00,0
2018/1/2 08:00,0.1
2018/1/2 09:00,0.43
2018/1/2 10:00,0.7
2018/1/2 11:00,0.88
2018/1/2 12:00,0.91
2018/1/2 13:00,0.74
2018/1/2 14:00,0.49
2018/1/2 15:00,0.23
2018/1/2 16:00,0.04
2018/1/2 17:00,0.03
2018/1/2 18:00,0
2018/1/2 19:00,0
2018/1/2 20:00,0
2018/1/2 21:00,0
2018/1/2 22:00,0
2018/1/2 23:00,0
2018/1/3 00:00,0
2018/1/3 01:00,0
2018/1/3 02:00,0
2018/1/3 03:00,0
2018/1/3 04:00,0
2018/1/3 05:00,0
2018/1/3 06:00,0
2018/1/3 07:00,0.02
2018/1/3 08:00,0.24
2018/1/3 09:00,0.47
2018/1/3 10:00,0.88
2018/1/3 11:00,1.69
2018/1/3 12:00,2.6
2018/1/3 13:00,3.12
2018/1/3 14:00,3.2
2018/1/3 15:00,2.88
2018/1/3 16:00,1.97
2018/1/3 17:00,0.2
2018/1/3 18:00,0.01
2018/1/3 19:00,0
2018/1/3 20:00,0
2018/1/3 21:00,0
2018/1/3 22:00,0
2018/1/3 23:00,0
2018/1/4 00:00,0
2018/1/4 01:00,0
2018/1/4 02:00,0
2018/1/4 03:00,0
2018/1/4 04:00,0
2018/1/4 05:00,0
2018/1/4 06:00,0
2018/1/4 07:00,0.02
2018/1/4 08:00,0.18
2018/1/4 09:00,0.29
2018/1/4 10:00,0.79
2018/1/4 11:00,1.84
2018/1/4 12:00,2.02
2018/1/4 13:00,2.65
2018/1/4 14:00,2.03
2018/1/4 15:00,0.9
2018/1/4 16:00,0.32
2018/1/4 17:00,0.01
2018/1/4 18:00,0.01
2018/1/4 19:00,0
2018/1/4 20:00,0
2018/1/4 21:00,0
2018/1/4 22:00,0
2018/1/4 23:00,0
2018/1/5 00:00,0
2018/1/5 01:00,0
2018/1/5 02:00,0
2018/1/5 03:00,0
2018/1/5 04:00,0
2018/1/5 05:00,0
2018/1/5 06:00,0
2018/1/5 07:00,0.02
2018/1/5 08:00,0.22
2018/1/5 09:00,0.42
2018/1/5 10:00,0.81
2018/1/5 11:00,1.77
2018/1/5 12:00,2.6
2018/1/5 13:00,3.04
2018/1/5 14:00,3.12
2018/1/5 15:00,2.83
2018/1/5 16:00,1.92
2018/1/5 17:00,0.23
2018/1/5 18:00,0.01
2018/1/5 19:00,0.73
2018/1/5 20:00,0
2018/1/5 21:00,0
2018/1/5 22:00,0
2018/1/5 23:00,0
2018/1/6 00:00,0.73
2018/1/6 01:00,0.73
2018/1/6 02:00,0
2018/1/6 03:00,0.73
2018/1/6 04:00,0.73
2018/1/6 05:00,0
2018/1/6 06:00,0.73
2018/1/6 07:00,0.01
2018/1/6 08:00,0.2
2018/1/6 09:00,0.54
2018/1/6 10:00,1.16
2018/1/6 11:00,1.75
2018/1/6 12:00,2.51
2018/1/6 13:00,1.46
2018/1/6 14:00,0.83
2018/1/6 15:00,0.71
2018/1/6 16:00,0.4
2018/1/6 17:00,0.05
2018/1/6 18:00,0.01
2018/1/6 19:00,0
2018/1/6 20:00,0
2018/1/6 21:00,0
2018/1/6 22:00,0
2018/1/6 23:00,0
2018/1/7 00:00,0
2018/1/7 01:00,0
2018/1/7 02:00,0
2018/1/7 03:00,0
2018/1/7 04:00,0
2018/1/7 05:00,0
2018/1/7 06:00,0
2018/1/7 07:00,0
2018/1/7 08:00,0.11
2018/1/7 09:00,0.62
2018/1/7 10:00,0.78
2018/1/7 11:00,0.76
2018/1/7 12:00,0.62
2018/1/7 13:00,0.31
2018/1/7 14:00,0.24
2018/1/7 15:00,0.24
2018/1/7 16:00,0.73
2018/1/7 17:00,0
2018/1/7 18:00,0.73
2018/1/7 19:00,0.73
2018/1/7 20:00,0.73
2018/1/7 21:00,0.73
2018/1/7 22:00,0.73
2018/1/7 23:00,0.73
2018/1/8 00:00,0.73
2018/1/8 01:00,0.73
2018/1/8 02:00,0.73
2018/1/8 03:00,0.73
2018/1/8 04:00,0.73
2018/1/8 05:00,0.73
2018/1/8 06:00,0.73
2018/1/8 07:00,0.73
2018/1/8 08:00,0.73
2018/1/8 09:00,0.73
2018/1/8 10:00,0.73
2018/1/8 11:00,0.73
2018/1/8 12:00,0.73
2018/1/8 13:00,0.73
2018/1/8 14:00,0.73
2018/1/8 15:00,0.73
2018/1/8 16:00,0.73
2018/1/8 17:00,0.73
2018/1/8 18:00,0.73
2018/1/8 19:00,0.73
2018/1/8 20:00,0.73
2018/1/8 21:00,0.73
2018/1/8 22:00,0.73
2018/1/8 23:00,0.73
2018/1/9 00:00,0.73
2018/1/9 01:00,0.73
2018/1/9 02:00,0.73
2018/1/9 03:00,0.73
2018/1/9 04:00,0.73
2018/1/9 05:00,0.73
2018/1/9 06:00,0.73
2018/1/9 07:00,0.02
2018/1/9 08:00,0.16
2018/1/9 09:00,0.29
2018/1/9 10:00,0.64
2018/1/9 11:00,1.71
2018/1/9 12:00,2.56
2018/1/9 13:00,2.95
2018/1/9 14:00,3.08
2018/1/9 15:00,2.82
2018/1/9 16:00,1.85
2018/1/9 17:00,0.31
2018/1/9 18:00,0.01
2018/1/9 19:00,0
2018/1/9 20:00,0
2018/1/9 21:00,0
2018/1/9 22:00,0
2018/1/9 23:00,0
2018/1/10 00:00,0
2018/1/10 01:00,0
2018/1/10 02:00,0
2018/1/10 03:00,0
2018/1/10 04:00,0
2018/1/10 05:00,0
2018/1/10 06:00,0
2018/1/10 07:00,0
2018/1/10 08:00,0.12
2018/1/10 09:00,0.46
2018/1/10 10:00,0.69
2018/1/10 11:00,1.02
2018/1/10 12:00,1.49
2018/1/10 13:00,2.03
2018/1/10 14:00,2.54
2018/1/10 15:00,2.29
2018/1/10 16:00,1.88
2018/1/10 17:00,0.31
2018/1/10 18:00,0.01
2018/1/10 19:00,0
2018/1/10 20:00,0
2018/1/10 21:00,0
2018/1/10 22:00,0
2018/1/10 23:00,0
2018/1/11 00:00,0
2018/1/11 01:00,0
2018/1/11 02:00,0
2018/1/11 03:00,0
2018/1/11 04:00,0
2018/1/11 05:00,0
2018/1/11 06:00,0
2018/1/11 07:00,0
2018/1/11 08:00,0.26
2018/1/11 09:00,0.65
2018/1/11 10:00,1.07
2018/1/11 11:00,1.11
2018/1/11 12:00,1.55
2018/1/11 13:00,1.97
2018/1/11 14:00,2.36
2018/1/11 15:00,1.84
2018/1/11 16:00,1.13
2018/1/11 17:00,0.09
2018/1/11 18:00,0.01
2018/1/11 19:00,0
2018/1/11 20:00,0
2018/1/11 21:00,0
2018/1/11 22:00,0
2018/1/11 23:00,0
2018/1/12 00:00,0
2018/1/12 01:00,0
2018/1/12 02:00,0
2018/1/12 03:00,0
2018/1/12 04:00,0
2018/1/12 05:00,0
2018/1/12 06:00,0
2018/1/12 07:00,0.01
2018/1/12 08:00,0.12
2018/1/12 09:00,0.2
2018/1/12 10:00,0.61
2018/1/12 11:00,1.86
2018/1/12 12:00,2.75
2018/1/12 13:00,3.22
2018/1/12 14:00,3.32
2018/1/12 15:00,3.01
2018/1/12 16:00,2.27
2018/1/12 17:00,0.55
2018/1/12 18:00,0.01
2018/1/12 19:00,0
2018/1/12 20:00,0
2018/1/12 21:00,0
2018/1/12 22:00,0
2018/1/12 23:00,0
2018/1/13 00:00,0
2018/1/13 01:00,0
2018/1/13 02:00,0
2018/1/13 03:00,0
2018/1/13 04:00,0
2018/1/13 05:00,0
2018/1/13 06:00,0
2018/1/13 07:00,0.01
2018/1/13 08:00,0.13
2018/1/13 09:00,0.21
2018/1/13 10:00,0.66
2018/1/13 11:00,1.85
2018/1/13 12:00,2.73
2018/1/13 13:00,3.21
2018/1/13 14:00,3.28
2018/1/13 15:00,2.98
2018/1/13 16:00,2.25
2018/1/13 17:00,0.56
2018/1/13 18:00,0.01
2018/1/13 19:00,0
2018/1/13 20:00,0
2018/1/13 21:00,0
2018/1/13 22:00,0
2018/1/13 23:00,0
2018/1/14 00:00,0
2018/1/14 01:00,0
2018/1/14 02:00,0
2018/1/14 03:00,0
2018/1/14 04:00,0
2018/1/14 05:00,0
2018/1/14 06:00,0
2018/1/14 07:00,0.01
2018/1/14 08:00,0.13
2018/1/14 09:00,0.22
2018/1/14 10:00,0.63
2018/1/14 11:00,1.79
2018/1/14 12:00,2.63
2018/1/14 13:00,3.12
2018/1/14 14:00,3.23
2018/1/14 15:00,2.89
2018/1/14 16:00,2.11
2018/1/14 17:00,0.49
2018/1/14 18:00,0.01
2018/1/14 19:00,0
2018/1/14 20:00,0
2018/1/14 21:00,0
2018/1/14 22:00,0
2018/1/14 23:00,0
